0	1	Spent the entire morning in a meeting w/ a vendor, and my boss was not happy w/ them. Lots of fun.  I had other plans for my morning
1	2	 Oh! Good idea about putting them on ice cream
2	1	says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj
3	0	 i dont think you can vote anymore! i tried
4	2	 haha better drunken tweeting you mean?
5	0	headache  wanna see my Julie
6	2	had an awsome salad! I recommend getting the Spicey buffalo chicken salad!
7	2	 fine! Going to do my big walk today 20 or so miles
8	2	 Thank a yoou  how are you? #TwitterTakeover
9	1	Why don't adobe realise no one WANTS to pay for Photoshop et al so they should just give it to us for free
10	1	PRD take a long time to review!
11	1	_2008 Well, having to revise them!  Was to do some more gardening, now, I guess hoovering and some warcraft  Not played in a week !
12	0	 Miss you my dear
13	2	Have just bought a TV tuner for my laptop.  He he.  I deserve a present
14	1	 ya mine too but for very different reason
15	0	Today Dan bought me Bio Dome AND the Reality Bites Soundtrack! Needless to say he gets MAYJAH points!  Also, my tummy is not happy. Boo.
16	0	 oo noo thats not good
17	0	misses her phone... having no service sucks
18	0	so i have like no more friends it's kinda sad
19	1	i have perused the #fieldnotes website and it is good.  too bad i must return to work
20	1	 ....welcome to public transport  X
21	0	Also I popped the phone open and got all that goddamn dust out, but I wore out a clip on the camera panel so I had to glue it shut
22	0	 uh oh
23	2	12:46AM. HAppy birthday little sister of mine. Also, good night Priscilla
24	2	 aaawww  no worries fresh start to work on growing it out again
25	1	 oh, /me still hasn't got around to starting it
26	2	is sooo tired and too busy to tweet  im glad the weekend is here... yay 4 day-weekend
27	1	  what's going on ?
28	1	 I can't, I'm studying so I don't fail  Come over, I'll make u some tortellini or chicken or a chicken salad.
29	2	Just watched &quot;Marley &amp; Me.&quot; Cute movie. Going to watch &quot;Twilight&quot; soon!  Love it!
30	1	 not sure... there are fanciful expensive ones - but some basic ones are not expensive... Try the 24hr 'M' shopping place
31	1	hello thereeeeeee
32	2	 oh he is so cute... is he in uniteddogs.com? Poppy is there
33	1	has just joined the twitter community
34	2	i'm actually starting to quite like lily allen and her music, to be honest.
35	0	 what Brody how dare u
36	0	I feel useless I don't know what to do right now. I'm so bored
37	2	I'm sooo HAPPY Demi's back on twitter!
38	0	kate is leaving me all by my lonesome
39	1	I was rooting for Betty.
40	2	 That would be most welcome
41	2	Why do weddings on TV make me cry? Is it just my inner desire to be eternally happy and start the rest of my life??
42	1	Is hungry with a sub
43	0	I lost a follower  oh well probably one of those mute ones anyway.
44	1	 i see you there
45	0	 saying goodbye to something familiar never becomes familiar
46	1	I can't comment directly to someone...... and I'm here all alone
47	2	 aw, that's cute
48	0	Just got back in, and I'm absolutely exhausted, have to be up in 5 hours for work
49	2	 I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them
50	1	after 4 years of trying, my cat today figured out how to open the under-the-sink cupboard.  time for a target run to buy safety locks
51	2	Heading to the U of Utah hospital. Have a great day everyone
52	0	my dog ran awayyy
53	1	 omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were in London
54	2	Today seems like it should be a good day! Even though my fuel pump is going out on my car  *~xoxo~*
55	1	It's Raining!
56	0	is missing someone.. haayy..  http://plurk.com/p/x2avn
57	0	 S'ok, trying to plot alternatives as we speak *sigh*
58	0	Hot ****, I'm at **** Disneyland!
59	0	Just figured out why only strong guys are supposed to put heavy things on top shelves, ouch!
60	0	Im @ the dentist  ....scary people here...
61	1	waiting for my mom to get home
62	2	so most kids love my dark hair some say that I dye it too much and they never know what color its going to be  yea me hahahahaha
63	0	damm i feel like the song of dead and gone by Travis Garland
64	1	UGH... I am soooo drag assing today  but on a brighter note I got my G1 update &amp; it is the biznesssss!
65	0	Feels like im going to cough up a lung
66	0	 actually, I wish I was back in Tahoe.  I miss it there.
67	2	 sounds like you've had a nice weekend lady!
68	1	 See you on may 16!!
69	2	_hall no  i was gutted when he wasn't. lmao. i think i'm obsessed with him, bahaha.
